,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Counter-Strike Online,406989.6,40698.96,39708.8,25000.0,77776.0,155,15.5,15.0,5,25,11,1.1,1.0,1,2
Counter-Strike: Condition Zero,162150.6,54050.200000000004,38575.3,38575.3,85000.0,141,47.0,60.0,15,66,3,1.0,1.0,1,1
Counter-Strike: Global Offensive,101631669.17,1016316.6917,660211.1799999999,490.16,3779775.08,61959,619.59,598.0,5,1699,5238,52.38,54.0,1,172
Counter-Strike: Source,3117222.29,37109.78916666667,19972.32,603.85,540673.62,5000,59.523809523809526,50.0,0,182,331,3.9404761904761907,4.0,1,10
Creative Destruction,100000.0,100000.0,100000.0,100000.0,100000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
Critical Ops,12606.41,4202.136666666666,2500.0,106.41,10000.0,4,1.3333333333333333,0.0,0,4,3,1.0,1.0,1,1
CrossFire,6448845.02,87146.55432432432,6840.0,452.75,900215.27,2786,37.648648648648646,34.0,0,123,306,4.135135135135135,5.0,1,12
Crysis,11340.95,5670.475,5670.475,2976.95,8364.0,0,0.0,0.0,0,0,2,1.0,1.0,1,1
Cultris II,190.95,190.95,190.95,190.95,190.95,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Day of Defeat,50300.0,16766.666666666668,10300.0,10000.0,30000.0,42,14.0,18.0,1,23,3,1.0,1.0,1,1
Day of Defeat: Source,14068.57,2009.7957142857142,1160.95,916.34,4002.64,71,10.142857142857142,12.0,0,29,8,1.1428571428571428,1.0,1,2
Dead By Daylight,15000.0,15000.0,15000.0,15000.0,15000.0,15,15.0,15.0,15,15,3,3.0,3.0,3,3
Dead or Alive 4,497745.31,55305.03444444444,15000.0,996.07,226000.0,65,7.222222222222222,3.0,2,23,13,1.4444444444444444,1.0,1,3
Dead or Alive 5,0.0,0.0,0.0,0.0,0.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Dead or Alive 5 Ultimate,0.0,0.0,0.0,0.0,0.0,52,8.666666666666666,8.0,4,16,7,1.1666666666666667,1.0,1,2
Dead or Alive 5: Last Round,8163.82,544.2546666666666,400.0,0.0,1880.0,73,4.866666666666666,3.0,3,10,19,1.2666666666666666,1.0,1,3
Dead or Alive 6,72416.54000000001,6583.321818181819,5302.67,160.0,16760.0,101,9.181818181818182,8.0,3,24,19,1.7272727272727273,1.0,1,4
Dead or Alive Ultimate,30000.0,30000.0,30000.0,30000.0,30000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Def Jam: Fight for NY,170.0,170.0,170.0,170.0,170.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Defense of the Ancients,857420.65,18242.99255319149,10807.73,360.45,71705.74,1047,22.27659574468085,15.0,0,95,85,1.8085106382978724,1.0,1,8
Dengeki Bunko: Fighting Climax,60.0,60.0,60.0,60.0,60.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Dengeki Bunko: Fighting Climax Ignition,2852.8,285.28000000000003,285.0,50.0,590.0,45,4.5,3.0,3,8,10,1.0,1.0,1,1
Descent 3,50000.0,50000.0,50000.0,50000.0,50000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Diabotical,16259.93,5419.9766666666665,5535.93,1550.0,9174.0,108,36.0,40.0,22,46,24,8.0,9.0,2,13
Digimon Rumble Arena,70.0,70.0,70.0,70.0,70.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Dirt Rally 2.0,10000.0,10000.0,10000.0,10000.0,10000.0,5,5.0,5.0,5,5,2,2.0,2.0,2,2
Divekick,5840.0,584.0,330.0,0.0,2300.0,37,3.7,3.0,3,8,11,1.1,1.0,1,2
Doom (2016),7000.0,7000.0,7000.0,7000.0,7000.0,6,6.0,6.0,6,6,1,1.0,1.0,1,1
Doom 3,257748.16,64437.04,55000.0,27000.0,120748.16,17,4.25,4.0,1,8,4,1.0,1.0,1,1
Doom II: Hell on Earth,1000.0,1000.0,1000.0,1000.0,1000.0,1,1.0,1.0,1,1,1,1.0,1.0,1,1
Dota 2,227225770.41,2103942.318611111,666661.45,2621.34,34460762.14,19853,183.82407407407408,195.5,15,422,1429,13.231481481481481,13.0,1,33
Dota Underlords,26024.18,3253.0225,1313.73,305.25,16860.92,80,10.0,10.0,3,20,36,4.5,5.0,2,6
Dragon Ball FighterZ,337985.4,13519.416000000001,7947.06,105.0,80476.76,373,14.92,13.0,1,33,73,2.92,3.0,1,7
Dragon Ball Z: Budokai 3,204.06,204.06,204.06,204.06,204.06,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Duck Game,250.0,250.0,250.0,250.0,250.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Enemy Territory: Quake Wars,60923.12,20307.70666666667,6273.0,4650.12,50000.0,32,10.666666666666666,6.0,0,26,3,1.0,1.0,1,1
Escape from Tarkov,54600.0,54600.0,54600.0,54600.0,54600.0,96,96.0,96.0,96,96,2,2.0,2.0,2,2
Eternal Fighter Zero,1311.6,655.8,655.8,10.0,1301.6,10,5.0,5.0,3,7,2,1.0,1.0,1,1
Evolve,131509.05000000002,18787.007142857146,1027.65,648.76,101066.21,209,29.857142857142858,30.0,15,48,33,4.714285714285714,5.0,1,8
F.E.A.R.,178000.0,35600.0,20000.0,18000.0,100000.0,35,7.0,8.0,4,8,5,1.0,1.0,1,1
F1 2018,200000.0,200000.0,200000.0,200000.0,200000.0,21,21.0,21.0,21,21,1,1.0,1.0,1,1
F1 2019,538047.38,269023.69,269023.69,38047.38,500000.0,25,12.5,12.5,3,22,2,1.0,1.0,1,1
FIFA 03,54066.44,27033.22,27033.22,5066.44,49000.0,10,5.0,5.0,3,7,3,1.5,1.5,1,2
FIFA 04,40000.0,13333.333333333334,0.0,0.0,40000.0,3,1.0,0.0,0,3,3,1.0,1.0,1,1
FIFA 05,57728.01,11545.602,9427.07,0.0,35000.0,6,1.2,0.0,0,3,6,1.2,1.0,1,2
FIFA 06,112464.53,16066.361428571428,16564.37,200.0,32149.1,28,4.0,3.0,0,13,11,1.5714285714285714,1.0,1,3
FIFA 07,237812.23,33973.17571428572,26000.0,1300.0,124126.66,49,7.0,3.0,2,21,12,1.7142857142857142,1.0,1,4
FIFA 08,207129.94,23014.437777777777,13250.07,1124.4,91000.0,78,8.666666666666666,4.0,3,26,16,1.7777777777777777,1.0,1,4
FIFA 09,121618.34,12161.833999999999,8765.220000000001,1501.51,38402.95,67,6.7,3.5,0,20,19,1.9,2.0,1,5
FIFA 10,117026.71,10638.791818181819,9005.33,392.04,33894.66,85,7.7272727272727275,5.0,0,18,48,4.363636363636363,4.0,1,7
FIFA 11,93983.77,5873.985625,762.04,130.68,35476.31,107,6.6875,5.0,1,30,78,4.875,5.0,1,9
FIFA 12,54431.520000000004,3887.9657142857145,673.3199999999999,137.64,26643.73,81,5.785714285714286,5.0,1,15,66,4.714285714285714,5.0,1,8
FIFA 13,458427.82,35263.67846153846,665.75,257.38,400534.28,85,6.538461538461538,5.0,2,17,62,4.769230769230769,5.0,2,7
FIFA 14,96347.81,7411.37,1519.63,267.1,26949.66,90,6.923076923076923,4.0,2,16,69,5.3076923076923075,6.0,2,8
FIFA 15,144373.99,10312.427857142857,6675.12,128.87,36936.96,369,26.357142857142858,30.0,1,48,352,25.142857142857142,29.0,1,39
FIFA 16,117828.11,10711.646363636364,5456.26,398.83,35904.69,112,10.181818181818182,9.0,3,17,28,2.5454545454545454,3.0,1,4
FIFA 17,1482612.63,148261.26299999998,17314.445,4500.0,525587.13,230,23.0,20.5,3,51,48,4.8,4.0,1,11
FIFA 18,2233697.69,223369.769,167987.02000000002,344.33,603972.43,398,39.8,26.0,1,102,47,4.7,3.0,1,13
FIFA 19,3242642.34,294785.66727272724,346500.0,4518.76,564060.0,651,59.18181818181818,63.0,9,128,48,4.363636363636363,4.0,2,9
FIFA 20,1144673.72,114467.372,34828.96,1000.0,403660.1,365,36.5,14.5,1,117,40,4.0,4.0,1,9
FIFA 2000,50000.0,50000.0,50000.0,50000.0,50000.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
FIFA 2001,46000.0,46000.0,46000.0,46000.0,46000.0,9,9.0,9.0,9,9,2,2.0,2.0,2,2
FIFA 2002 World Cup,43000.0,43000.0,43000.0,43000.0,43000.0,8,8.0,8.0,8,8,1,1.0,1.0,1,1
FIFA Online 3,1434341.9,204905.9857142857,237112.5,13023.0,500000.0,132,18.857142857142858,12.0,0,43,7,1.0,1.0,1,1
FIFA Online 4,679240.0,169810.0,218500.0,2240.0,240000.0,112,28.0,36.0,3,37,4,1.0,1.0,1,1
Faeria,4100.0,1366.6666666666667,800.0,800.0,2500.0,15,5.0,5.0,4,6,5,1.6666666666666667,2.0,1,2
Fall Guys,151000.0,75500.0,75500.0,51000.0,100000.0,217,108.5,108.5,79,138,3,1.5,1.5,1,2
Fantasy Strike,3860.0,1286.6666666666667,1000.0,250.0,2610.0,24,8.0,8.0,8,8,3,1.0,1.0,1,1
Farming Simulator 19,158361.30000000002,17595.7,13316.27,12909.95,39722.8,249,27.666666666666668,24.0,24,41,12,1.3333333333333333,1.0,1,3
Fight of Animals,580.68,290.34,290.34,50.0,530.68,9,4.5,4.5,3,6,3,1.5,1.5,1,2
Fighter's History Dynamite,195.0,195.0,195.0,195.0,195.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Fighting EX Layer,1642.96,273.82666666666665,166.48000000000002,10.0,970.0,20,3.3333333333333335,3.0,2,6,7,1.1666666666666667,1.0,1,2
Fortnite,97298425.0,3138658.870967742,957055.56,8690.78,36713555.9,11591,373.9032258064516,319.0,12,1039,657,21.193548387096776,19.0,1,80
Forza Motorsport 2,222000.0,111000.0,111000.0,15000.0,207000.0,18,9.0,9.0,2,16,2,1.0,1.0,1,1
Forza Motorsport 3,11000.0,11000.0,11000.0,11000.0,11000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Forza Motorsport 4,132.37,132.37,132.37,132.37,132.37,2,2.0,2.0,2,2,1,1.0,1.0,1,1
Forza Motorsport 6,66350.0,16587.5,14525.0,1500.0,35800.0,59,14.75,14.0,1,30,9,2.25,1.0,1,6
Forza Motorsport 7,800200.0,80020.0,75000.0,1000.0,230000.0,202,20.2,20.0,2,48,12,1.2,1.0,1,2
Free Fire,1006392.23,111821.35888888889,93000.0,9336.49,388441.87,359,39.888888888888886,15.0,3,152,14,1.5555555555555556,1.0,1,3
GRID (2019),218.75,218.75,218.75,218.75,218.75,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Garou: Mark of the Wolves,658.71,164.6775,162.5,108.71,225.0,13,3.25,3.0,3,4,4,1.0,1.0,1,1
Gears 5,1223000.0,203833.33333333334,169500.0,71000.0,364000.0,418,69.66666666666667,72.5,40,101,18,3.0,3.0,1,5
Gears of War,252195.57,18013.969285714287,8200.385,0.0,120000.0,33,2.357142857142857,0.0,0,32,15,1.0714285714285714,1.0,1,2
Gears of War 2,135000.0,27000.0,15000.0,15000.0,75000.0,0,0.0,0.0,0,0,5,1.0,1.0,1,1
Gears of War 3,7255.81,2418.6033333333335,2000.0,700.0,4555.81,14,4.666666666666667,2.0,0,12,4,1.3333333333333333,1.0,1,2
Gears of War 4,3087285.0,154364.25,177500.0,500.0,317870.0,775,38.75,40.0,5,70,41,2.05,1.0,1,8
Gears of War: Ultimate Edition,170000.0,56666.666666666664,60000.0,50000.0,60000.0,72,24.0,24.0,16,32,3,1.0,1.0,1,1
Ghost Recon Advanced Warfighter,24000.0,12000.0,12000.0,8000.0,16000.0,0,0.0,0.0,0,0,2,1.0,1.0,1,1
Gran Turismo 3: A-Spec,3250.0,1625.0,1625.0,1500.0,1750.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Gran Turismo 4,44000.0,22000.0,22000.0,12000.0,32000.0,8,4.0,4.0,4,4,2,1.0,1.0,1,1
Gran Turismo Sport,25564.0,6391.0,7050.0,1384.0,10080.0,40,10.0,10.0,9,11,6,1.5,1.5,1,2
Grey Goo,36400.0,9100.0,2000.0,2000.0,30400.0,28,7.0,4.0,4,16,5,1.25,1.0,1,2
Guild Wars 2,476005.5,47600.55,52228.979999999996,3118.94,100000.0,277,27.7,20.5,0,98,57,5.7,7.0,1,11
Guilty Gear,32.0,32.0,32.0,32.0,32.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Guilty Gear XX,0.0,0.0,0.0,0.0,0.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Guilty Gear XX #Reload,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Guilty Gear XX Accent Core,10365.0,2591.25,57.5,0.0,10250.0,35,8.75,4.5,3,23,4,1.0,1.0,1,1
Guilty Gear XX Accent Core Plus,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Guilty Gear XX Accent Core Plus R,4640.0,257.77777777777777,300.0,0.0,550.0,83,4.611111111111111,3.0,3,16,19,1.0555555555555556,1.0,1,2
Guilty Gear XX Slash,10250.0,10250.0,10250.0,10250.0,10250.0,6,6.0,6.0,6,6,1,1.0,1.0,1,1
Guilty Gear Xrd -REVELATOR-,36437.43,3643.743,2179.65,210.0,19100.0,95,9.5,8.0,3,23,19,1.9,1.5,1,4
Guilty Gear Xrd -SIGN-,37445.66,2674.69,1276.345,0.0,19680.0,134,9.571428571428571,10.5,2,16,37,2.642857142857143,2.0,1,5
